LAT,LON
17.3425,78.0225
17.3475,78.0225
17.3025,78.0325
17.3675,78.0325
17.3725,78.0325
17.2975,78.03751
17.3025,78.03751
17.3125,78.03751
17.3175,78.03751
17.3675,78.03751
17.3725,78.03751
17.3825,78.03751
17.3875,78.03751
17.2975,78.0425
17.3025,78.0425
17.3175,78.0425
17.3225,78.0425
17.3275,78.0425
17.3625,78.0425
17.3675,78.0425
17.3725,78.0425
17.3775,78.0425
17.3825,78.0425
17.3875,78.0425
17.2725,78.0475
17.2975,78.0475
17.3025,78.0475
17.3475,78.0475
17.3525,78.0475
17.3575,78.0475
17.3625,78.0475
17.3675,78.0475
17.3725,78.0475
17.6375,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2025,78.05251
17.2625,78.05251
17.2675,78.05251
17.2825,78.05251
17.2875,78.05251
17.2925,78.05251
17.2975,78.05251
17.3025,78.05251
17.3075,78.05251
17.3475,78.05251
17.3575,78.05251
17.3625,78.05251
17.3825,78.05251
17.4025,78.05251
17.4775,78.05251
17.6375,78.05251
17.6425,78.05251
17.6475,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2025,78.0575
17.2075,78.0575
17.2125,78.0575
17.2525,78.0575
17.2575,78.0575
17.2875,78.0575
17.2925,78.0575
17.3075,78.0575
17.3475,78.0575
17.3925,78.0575
17.4025,78.0575
17.6325,78.0575
17.6375,78.0575
17.6475,78.0575
17.1875,78.0625
17.1925,78.0625
17.1975,78.0625
17.2025,78.0625
17.2075,78.0625
17.2125,78.0625
17.2275,78.0625
17.2325,78.0625
17.2375,78.0625
17.2425,78.0625
17.2525,78.0625
17.2575,78.0625
17.2725,78.0625
17.2875,78.0625
17.2925,78.0625
17.3025,78.0625
17.3075,78.0625
17.3425,78.0625
17.3475,78.0625
17.3925,78.0625
17.5525,78.0625
17.1875,78.0675
17.2025,78.0675
17.2075,78.0675
17.2125,78.0675
17.2175,78.0675
17.2225,78.0675
17.2275,78.0675
17.2325,78.0675
17.2375,78.0675
17.2525,78.0675
17.2575,78.0675
17.2625,78.0675
17.2675,78.0675
17.2725,78.0675
17.2875,78.0675
17.2925,78.0675
17.2975,78.0675
17.3375,78.0675
17.3425,78.0675
17.3475,78.0675
17.3675,78.0675
17.3725,78.0675
17.3775,78.0675
17.3825,78.0675
17.3875,78.0675
17.3925,78.0675
17.4025,78.0675
17.4575,78.0675
17.4775,78.0675
17.4825,78.0675
17.4875,78.0675
17.0275,78.0725
17.0325,78.0725
17.2025,78.0725
17.2075,78.0725
17.2125,78.0725
17.2175,78.0725
17.2225,78.0725
17.2275,78.0725
17.2325,78.0725
17.2375,78.0725
17.2425,78.0725
17.2475,78.0725
17.2525,78.0725
17.2575,78.0725
17.2625,78.0725
17.2725,78.0725
17.2775,78.0725
17.2825,78.0725
17.2875,78.0725
17.2925,78.0725
17.2975,78.0725
17.3125,78.0725
17.3175,78.0725
17.3375,78.0725
17.3625,78.0725
17.3675,78.0725
17.3725,78.0725
17.3775,78.0725
17.3825,78.0725
17.3875,78.0725
17.3925,78.0725
17.3975,78.0725
17.4025,78.0725
17.4425,78.0725
17.4725,78.0725
17.4775,78.0725
17.4825,78.0725
17.4875,78.0725
16.9975,78.0775
17.0275,78.0775
17.0425,78.0775
17.2025,78.0775
17.2075,78.0775
17.2275,78.0775
17.2325,78.0775
17.2375,78.0775
17.2425,78.0775
17.2475,78.0775
17.2525,78.0775
17.2575,78.0775
17.2775,78.0775
17.2825,78.0775
17.2875,78.0775
17.2925,78.0775
17.3125,78.0775
17.3175,78.0775
17.3225,78.0775
17.3275,78.0775
17.3375,78.0775
17.3675,78.0775
17.3725,78.0775
17.3775,78.0775
17.3825,78.0775
17.3875,78.0775
17.3925,78.0775
17.4025,78.0775
17.4075,78.0775
17.4125,78.0775
17.4175,78.0775
17.4225,78.0775
17.4275,78.0775
17.4525,78.0775
17.4575,78.0775
17.4775,78.0775
16.9975,78.0825
17.0225,78.0825
17.1125,78.0825
17.1175,78.0825
17.2075,78.0825
17.2325,78.0825
17.2375,78.0825
17.2425,78.0825
17.2475,78.0825
17.2525,78.0825
17.2575,78.0825
17.2875,78.0825
17.2925,78.0825
17.3125,78.0825
17.3175,78.0825
17.3225,78.0825
17.3275,78.0825
17.3375,78.0825
17.3425,78.0825
17.3725,78.0825
17.3775,78.0825
17.3875,78.0825
17.3925,78.0825
17.3975,78.0825
17.4025,78.0825
17.4075,78.0825
17.4125,78.0825
17.4175,78.0825
17.4225,78.0825
17.4275,78.0825
17.5525,78.0825
17.5575,78.0825
16.9925,78.0875
17.0025,78.0875
17.0175,78.0875
17.0225,78.0875
17.1125,78.0875
17.1175,78.0875
17.1225,78.0875
17.1675,78.0875
17.1725,78.0875
17.1775,78.0875
17.2075,78.0875
17.2375,78.0875
17.2525,78.0875
17.2575,78.0875
17.2825,78.0875
17.2925,78.0875
17.2975,78.0875
17.3075,78.0875
17.3125,78.0875
17.3175,78.0875
17.3225,78.0875
17.3325,78.0875
17.3375,78.0875
17.3425,78.0875
17.3975,78.0875
17.4025,78.0875
17.4075,78.0875
17.4125,78.0875
17.4275,78.0875
17.4825,78.0875
17.4875,78.0875
17.4925,78.0875
16.9825,78.0925
17.0175,78.0925
17.1175,78.0925
17.1225,78.0925
17.1575,78.0925
17.1625,78.0925
17.1675,78.0925
17.1725,78.0925
17.1775,78.0925
17.2025,78.0925
17.2075,78.0925
17.2125,78.0925
17.2325,78.0925
17.2375,78.0925
17.2525,78.0925
17.2575,78.0925
17.2625,78.0925
17.2725,78.0925
17.3175,78.0925
17.3325,78.0925
17.3375,78.0925
17.4875,78.0925
17.4975,78.0925
17.5025,78.0925
17.5525,78.0925
16.9875,78.0975
17.0125,78.0975
17.0175,78.0975
17.0375,78.0975
17.0425,78.0975
17.0475,78.0975
17.1275,78.0975
17.1325,78.0975
17.1375,78.0975
17.1425,78.0975
17.1475,78.0975
17.1525,78.0975
17.1575,78.0975
17.1625,78.0975
17.1675,78.0975
17.1725,78.0975
17.1775,78.0975
17.1925,78.0975
17.1975,78.0975
17.2025,78.0975
17.2075,78.0975
17.2125,78.0975
17.2175,78.0975
17.2375,78.0975
17.2525,78.0975
17.2775,78.0975
17.4175,78.0975
17.4225,78.0975
17.4825,78.0975
17.4875,78.0975
17.4925,78.0975
17.0025,78.1025
17.0075,78.1025
17.0125,78.1025
17.0175,78.1025
17.1225,78.1025
17.1275,78.1025
17.1325,78.1025
17.1375,78.1025
17.1425,78.1025
17.1475,78.1025
17.1525,78.1025
17.1575,78.1025
17.1625,78.1025
17.1675,78.1025
17.1725,78.1025
17.1775,78.1025
17.1825,78.1025
17.1875,78.1025
17.1925,78.1025
17.1975,78.1025
17.2025,78.1025
17.2075,78.1025
17.2125,78.1025
17.2175,78.1025
17.2425,78.1025
17.2475,78.1025
17.2525,78.1025
17.2775,78.1025
17.2825,78.1025
17.3325,78.1025
17.3625,78.1025
17.4125,78.1025
17.4175,78.1025
17.4225,78.1025
17.4275,78.1025
17.4875,78.1025
16.9975,78.10751
17.0175,78.10751
17.1175,78.10751
17.1225,78.10751
17.1375,78.10751
17.1525,78.10751
17.1675,78.10751
17.1725,78.10751
17.1775,78.10751
17.1825,78.10751
17.1875,78.10751
17.1975,78.10751
17.2025,78.10751
17.2075,78.10751
17.2125,78.10751
17.2425,78.10751
17.2475,78.10751
17.2525,78.10751
17.2575,78.10751
17.2625,78.10751
17.2925,78.10751
17.3675,78.10751
17.3825,78.10751
17.4275,78.10751
17.7375,78.10751
16.9875,78.1125
17.1075,78.1125
17.1125,78.1125
17.1175,78.1125
17.1225,78.1125
17.1525,78.1125
17.1875,78.1125
17.1975,78.1125
17.2025,78.1125
17.2075,78.1125
17.2425,78.1125
17.2475,78.1125
17.2525,78.1125
17.2575,78.1125
17.2625,78.1125
17.2875,78.1125
17.2925,78.1125
17.2975,78.1125
17.3275,78.1125
17.3625,78.1125
17.3825,78.1125
17.3875,78.1125
17.7375,78.1125
17.7425,78.1125
17.7775,78.1125
17.7825,78.1125
17.1175,78.1175
17.1225,78.1175
17.1525,78.1175
17.1875,78.1175
17.1925,78.1175
17.1975,78.1175
17.2025,78.1175
17.2075,78.1175
17.2425,78.1175
17.2475,78.1175
17.2525,78.1175
17.2575,78.1175
17.2625,78.1175
17.2825,78.1175
17.2875,78.1175
17.2925,78.1175
17.2975,78.1175
17.3275,78.1175
17.3325,78.1175
17.3825,78.1175
17.3875,78.1175
17.3925,78.1175
17.7375,78.1175
17.7425,78.1175
17.7525,78.1175
17.7725,78.1175
17.7775,78.1175
17.7825,78.1175
17.7875,78.1175
17.1175,78.12251
17.1225,78.12251
17.1475,78.12251
17.1925,78.12251
17.1975,78.12251
17.2025,78.12251
17.2425,78.12251
17.2475,78.12251
17.2525,78.12251
17.2575,78.12251
17.2625,78.12251
17.2775,78.12251
17.2825,78.12251
17.2875,78.12251
17.2925,78.12251
17.3625,78.12251
17.3825,78.12251
17.3875,78.12251
17.3925,78.12251
17.3975,78.12251
17.7375,78.12251
17.7575,78.12251
17.7625,78.12251
17.7675,78.12251
17.7725,78.12251
17.7875,78.12251
17.0025,78.1275
17.0075,78.1275
17.1175,78.1275
17.1225,78.1275
17.1275,78.1275
17.1425,78.1275
17.1475,78.1275
17.1925,78.1275
17.1975,78.1275
17.2425,78.1275
17.2625,78.1275
17.2675,78.1275
17.2725,78.1275
17.2775,78.1275
17.2825,78.1275
17.2875,78.1275
17.3825,78.1275
17.3875,78.1275
17.3925,78.1275
17.3975,78.1275
17.4175,78.1275
17.7375,78.1275
17.7525,78.1275
17.7575,78.1275
17.7725,78.1275
17.7875,78.1275
17.0025,78.1325
17.0975,78.1325
17.1025,78.1325
17.1075,78.1325
