LAT,LON
17.3675,78.03751
17.2725,78.0475
17.1875,78.05251
17.2025,78.05251
17.2625,78.05251
17.2675,78.05251
17.2025,78.0625
17.2075,78.0625
17.2075,78.0675
17.2275,78.0675
17.2325,78.0675
17.2725,78.0675
17.2725,78.0725
17.2575,78.0875
17.2575,78.0925
17.1975,78.05251
17.2025,78.05251
17.2025,78.0575
17.2075,78.0625
17.2075,78.0675
17.2325,78.0675
17.2125,78.0725
17.2525,78.0775
17.2575,78.0775
17.2525,78.0825
17.2575,78.0825
17.2625,78.0825
17.2675,78.0825
17.2575,78.0875
17.2625,78.0875
17.2675,78.0875
17.3775,78.03751
17.3625,78.0425
17.3825,78.0425
17.2725,78.0475
17.2775,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2025,78.05251
17.2725,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2025,78.0575
17.2075,78.0575
17.1875,78.0625
17.1925,78.0625
17.1975,78.0625
17.2025,78.0625
17.2075,78.0625
17.2275,78.0625
17.2325,78.0625
17.2375,78.0625
17.2075,78.0675
17.2275,78.0675
17.2325,78.0675
17.2375,78.0675
17.2525,78.0675
17.2925,78.0675
17.3425,78.0675
17.2025,78.0725
17.2075,78.0725
17.2275,78.0725
17.2325,78.0725
17.2375,78.0725
17.2525,78.0725
17.2575,78.0725
17.2725,78.0725
17.2875,78.0725
17.2025,78.0775
17.2075,78.0775
17.2375,78.0775
17.2525,78.0775
17.2575,78.0775
17.2875,78.0775
17.2525,78.0825
17.2575,78.0825
17.2625,78.0825
17.3775,78.0825
17.1675,78.0875
17.1725,78.0875
17.2525,78.0875
17.2575,78.0875
17.2625,78.0875
17.2675,78.0875
17.1575,78.0925
17.1625,78.0925
17.1675,78.0925
17.1725,78.0925
17.2575,78.0925
17.1675,78.0975
17.1725,78.0975
17.1725,78.1025
17.2425,78.10751
17.2475,78.10751
17.2475,78.1125
17.2525,78.1125
17.2575,78.1125
17.2625,78.1125
17.2875,78.1125
17.2475,78.1175
17.2525,78.1175
17.2575,78.1175
17.2625,78.1175
17.2825,78.1175
17.2875,78.1175
17.2475,78.12251
17.2525,78.12251
17.2575,78.12251
17.2625,78.12251
17.3725,78.0325
17.3725,78.03751
17.3625,78.0425
17.3675,78.0425
17.3725,78.0425
17.2725,78.0475
17.3575,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2025,78.05251
17.2725,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2025,78.0575
17.2075,78.0575
17.2525,78.0575
17.3425,78.0575
17.1875,78.0625
17.2025,78.0625
17.2075,78.0625
17.2325,78.0625
17.2025,78.0675
17.2075,78.0675
17.2275,78.0675
17.2325,78.0675
17.2025,78.0725
17.2075,78.0725
17.2225,78.0725
17.2275,78.0725
17.2325,78.0725
17.2375,78.0725
17.2025,78.0775
17.2325,78.0775
17.2525,78.0775
17.2575,78.0775
17.2875,78.0775
17.3775,78.0775
17.2375,78.0825
17.1675,78.0875
17.1725,78.0875
17.2575,78.0875
17.1575,78.0925
17.1625,78.0925
17.1675,78.0925
17.2325,78.0925
17.1475,78.0975
17.1525,78.0975
17.1575,78.0975
17.1625,78.0975
17.1675,78.0975
17.2025,78.0975
17.2075,78.0975
17.2025,78.1025
17.2575,78.1125
17.2825,78.12251
17.2725,78.0475
17.2775,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2725,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2075,78.0575
17.1875,78.0625
17.2025,78.0625
17.2075,78.0625
17.2025,78.0675
17.2075,78.0675
17.2375,78.0675
17.2025,78.0725
17.2075,78.0725
17.2525,78.0725
17.2025,78.0775
17.2525,78.0775
17.2675,78.0775
17.2725,78.0775
17.2875,78.0775
17.2375,78.0825
17.2525,78.0825
17.2575,78.0825
17.2675,78.0825
17.1675,78.0875
17.1725,78.0875
17.2325,78.0875
17.2575,78.0875
17.1725,78.0925
17.2075,78.0925
17.1775,78.0975
17.2025,78.0975
17.2475,78.1125
17.2825,78.12251
17.3675,78.03751
17.3725,78.03751
17.3625,78.0425
17.3675,78.0425
17.3725,78.0425
17.3775,78.0425
17.2725,78.0475
17.3625,78.0475
17.3675,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2025,78.05251
17.2625,78.05251
17.2675,78.05251
17.2725,78.05251
17.3625,78.05251
17.3825,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2025,78.0575
17.2075,78.0575
17.2525,78.0575
17.1875,78.0625
17.1925,78.0625
17.1975,78.0625
17.2025,78.0625
17.2075,78.0625
17.2275,78.0625
17.2325,78.0625
17.2375,78.0625
17.2575,78.0625
17.2025,78.0675
17.2075,78.0675
17.2125,78.0675
17.2275,78.0675
17.2325,78.0675
17.2375,78.0675
17.2525,78.0675
17.2575,78.0675
17.3775,78.0675
17.3825,78.0675
17.2025,78.0725
17.2075,78.0725
17.2125,78.0725
17.2175,78.0725
17.2225,78.0725
17.2275,78.0725
17.2325,78.0725
17.2375,78.0725
17.2575,78.0725
17.2675,78.0725
17.2725,78.0725
17.3775,78.0725
17.2025,78.0775
17.2075,78.0775
17.2275,78.0775
17.2325,78.0775
17.2375,78.0775
17.2525,78.0775
17.2575,78.0775
17.2825,78.0775
17.2875,78.0775
17.3775,78.0775
17.2325,78.0825
17.2375,78.0825
17.2525,78.0825
17.2575,78.0825
17.2875,78.0825
17.2325,78.0875
17.2375,78.0875
17.2525,78.0875
17.2575,78.0875
17.2025,78.0925
17.2075,78.0925
17.2275,78.0925
17.2325,78.0925
17.2525,78.0925
17.2575,78.0925
17.2275,78.0975
17.2475,78.1125
17.0775,78.8175
17.0825,78.8175
17.0875,78.8175
17.1075,78.8175
17.1125,78.8175
17.0775,78.8225
17.0825,78.8225
17.1075,78.8225
17.1125,78.8225
17.0775,78.8275
17.5275,79.0075
17.5275,79.0125
17.5275,79.0175
17.5225,79.0225
17.5275,79.0225
17.5125,79.0325
17.5025,79.03751
17.5075,79.03751
17.5075,79.0425
17.3625,78.0425
17.3675,78.0425
17.3725,78.0425
17.3775,78.0425
17.2725,78.0475
17.1875,78.05251
17.1925,78.05251
17.1975,78.05251
17.2025,78.05251
17.2725,78.05251
17.1875,78.0575
17.1925,78.0575
17.1975,78.0575
17.2025,78.0575
17.2075,78.0575
17.2525,78.0575
17.3425,78.0575
17.1875,78.0625
17.2025,78.0625
17.2075,78.0625
17.2275,78.0625
17.2325,78.0625
17.2375,78.0625
17.2525,78.0625
17.3425,78.0625
17.2025,78.0675
17.2075,78.0675
17.2275,78.0675
17.2325,78.0675
17.2375,78.0675
17.2525,78.0675
17.3425,78.0675
17.2025,78.0725
17.2075,78.0725
17.2225,78.0725
17.2275,78.0725
17.2325,78.0725
17.2375,78.0725
17.2525,78.0725
17.2025,78.0775
17.2075,78.0775
17.2275,78.0775
17.2325,78.0775
17.2375,78.0775
17.2425,78.0775
