Pollutant,LAT,LONG
CO,17.3475,78.3975
CO,17.3925,78.3275
CO,17.5525,78.1975
CO,17.3575,78.3675
CO,17.4575,78.3425
CO,17.3875,78.3775
CO,17.3975,78.35751
CO,17.3475,78.41251
CO,17.3775,78.3475
CO,17.4625,78.3425
CO,17.3725,78.3675
CO,17.3875,78.3525
CO,17.5425,78.2925
CO,17.3425,78.3925
CO,17.3425,78.3975
CO,17.3475,78.4025
CO,17.3875,78.3675
CO,17.6025,78.3825
CO,17.4625,78.35751
CO,17.4525,78.3225
CO,17.4575,78.3525
CO,17.4775,78.3275
CO,17.3325,78.3825
CO,17.4075,78.3275
CO,17.3775,78.3925
CO,17.3125,78.3975
CO,17.3825,78.3425
CO,17.4525,78.3425
CO,17.3675,78.3775
CO,17.3425,78.4025
CO,17.3425,78.4075
CO,17.4325,78.3125
CO,17.5175,78.3225
CO,17.3125,78.3875
CO,17.5425,78.2625
CO,17.5375,78.4025
CO,17.5375,78.3975
CO,17.4125,78.3325
CO,17.4125,78.3275
CO,17.4375,78.3375
CO,17.4075,78.3325
CO,17.3825,78.3475
CO,17.3675,78.3475
CO,17.6125,78.3875
CO,17.4025,78.3275
CO,17.5475,78.2925
CO,17.3625,78.3775
CO,17.4125,78.3225
CO,17.4825,78.3475
CO,17.3725,78.3475
CO,17.4825,78.3425
CO,17.3875,78.3425
NO2,17.6075,78.0875
NO2,17.6025,78.0875
NO2,17.6275,78.0875
NO2,17.5825,78.12251
NO2,17.5975,78.0875
NO2,17.6025,78.0825
NO2,17.5825,78.1275
NO2,17.5925,78.0875
NO2,17.5975,78.0825
NO2,17.5875,78.1275
NO2,17.5875,78.1175
NO2,17.5525,78.1825
NO2,17.5925,78.1125
NO2,17.5475,78.1825
NO2,17.5475,78.17751
NO2,17.5225,78.28751
NO2,17.5375,78.2825
NO2,17.5975,78.1175
NO2,17.5225,78.2825
NO2,17.5375,78.2775
NO2,17.5375,78.1925
NO2,17.5575,78.17751
NO2,17.5525,78.1975
NO2,17.5425,78.1975
NO2,17.5525,78.17751
NO2,17.5375,78.2725
NO2,17.5525,78.1725
NO2,17.5425,78.1925
NO2,17.5475,78.1925
NO2,17.5475,78.2925
NO2,17.5375,78.1975
NO2,17.5475,78.1975
NO2,17.5425,78.2625
NO2,17.5425,78.2025
NO2,17.5425,78.2675
NO2,17.5425,78.28751
NO2,17.5425,78.2925
NO2,17.5475,78.2075
NO2,17.5375,78.2025
NO2,17.5675,78.3225
NO2,17.5425,78.2725
NO2,17.5425,78.2075
NO2,17.5475,78.2025
NO2,17.7375,78.2825
NO2,17.5375,78.3325
NO2,17.5425,78.3275
NO2,17.5425,78.2125
NO2,17.5675,78.3275
NO2,17.5475,78.2175
NO2,17.5475,78.3275
NO2,17.7325,78.2825
NO2,17.5525,78.3275
NO2,17.4675,78.3225
NO2,17.5275,78.3175
NO2,17.5975,78.3975
NO2,17.5275,78.3225
NO2,17.5425,78.3325
NO2,17.5425,78.2175
NO2,17.5925,78.3825
NO2,17.7375,78.2775
NO2,17.6075,78.3875
NO2,17.4875,78.3075
NO2,17.5975,78.3825
NO2,17.5175,78.3175
NO2,17.6025,78.3925
NO2,17.5125,78.3175
NO2,17.5025,78.30251
NO2,17.4675,78.3175
NO2,17.5975,78.3925
NO2,17.6025,78.3825
NO2,17.5025,78.8825
NO2,17.4675,78.3275
NO2,17.5425,78.2225
NO2,17.6025,78.3875
NO2,17.4875,78.8225
NO2,17.4925,78.8375
NO2,17.5925,78.3925
NO2,17.7325,78.2775
NO2,17.5075,78.2925
NO2,17.4725,78.3225
NO2,17.5225,78.3225
