LAT,LON
17.3775,78.0475
17.3825,78.0475
17.3775,78.05251
17.3325,78.0625
17.3375,78.0625
17.6225,78.0675
17.6275,78.0675
17.6075,78.0725
17.6125,78.0725
17.6175,78.0725
17.6225,78.0725
17.6275,78.0725
17.6325,78.0725
17.5925,78.0775
17.5975,78.0775
17.6025,78.0775
17.6075,78.0775
17.6125,78.0775
17.6175,78.0775
17.6225,78.0775
17.6275,78.0775
17.6325,78.0775
17.6375,78.0775
17.6425,78.0775
17.6025,78.0825
17.6075,78.0825
17.6125,78.0825
17.6175,78.0825
17.6225,78.0825
17.6275,78.0825
17.5525,78.0875
17.5575,78.0875
17.6125,78.0875
17.6175,78.0875
17.6225,78.0875
17.0975,78.1125
17.0975,78.1175
17.4725,78.1175
17.4675,78.12251
17.4775,78.12251
17.3175,78.1275
17.4575,78.1275
17.3425,78.1325
17.3475,78.1325
17.6425,78.1325
17.0275,78.1525
17.5725,78.1525
17.0275,78.1575
17.5675,78.1575
17.5725,78.1575
17.4925,78.1675
17.4975,78.1675
17.5275,78.1675
17.5325,78.1675
17.5375,78.1675
17.5275,78.1725
17.5325,78.1725
17.5375,78.1725
17.5275,78.17751
17.5325,78.17751
17.5375,78.17751
17.5425,78.17751
17.5275,78.1825
17.5325,78.1825
17.5375,78.1825
17.0775,78.1875
17.3575,78.1875
17.5375,78.1875
17.0725,78.1925
17.0775,78.1925
17.0875,78.1925
17.0675,78.1975
17.0775,78.1975
17.0825,78.1975
17.3025,78.1975
17.3075,78.1975
17.0625,78.2025
17.0675,78.2025
17.0725,78.2025
17.0775,78.2025
17.2975,78.2025
17.3025,78.2025
17.0625,78.2075
17.0675,78.2075
17.0725,78.2075
17.5425,78.2075
17.5475,78.2075
17.0675,78.2125
17.0725,78.2125
17.5475,78.2125
17.5525,78.2125
17.5375,78.24751
17.5325,78.2525
17.5375,78.2525
17.5425,78.2525
17.5275,78.2575
17.5325,78.2575
17.5375,78.2575
17.5425,78.2575
17.5325,78.2625
17.5375,78.2625
17.5425,78.2625
17.5275,78.2675
17.5325,78.2675
17.5375,78.2675
17.7475,78.2675
17.5175,78.2725
17.5225,78.2725
17.5275,78.2725
17.5325,78.2725
17.7425,78.2725
17.1525,78.2775
17.1575,78.2775
17.5225,78.2775
17.5275,78.2775
17.5325,78.2775
17.7425,78.2775
17.4975,78.2825
17.5075,78.2825
17.5125,78.2825
17.5225,78.2825
17.5275,78.2825
17.5325,78.2825
17.1625,78.28751
17.4175,78.28751
17.4775,78.28751
17.4825,78.28751
17.4975,78.28751
17.5025,78.28751
17.5075,78.28751
17.5125,78.28751
17.5175,78.28751
17.5225,78.28751
17.5275,78.28751
17.5325,78.28751
17.5375,78.28751
17.4875,78.2925
17.5125,78.2925
17.5175,78.2925
17.5225,78.2925
17.5275,78.2925
17.5325,78.2925
17.5075,78.2975
17.5125,78.2975
17.5175,78.2975
17.5225,78.2975
17.5275,78.2975
17.4825,78.30251
17.4925,78.30251
17.5075,78.30251
17.5125,78.30251
17.5175,78.30251
17.5225,78.30251
17.5275,78.30251
17.4775,78.3075
17.4825,78.3075
17.4925,78.3075
17.5025,78.3075
17.5075,78.3075
17.5125,78.3075
17.5175,78.3075
17.5225,78.3075
17.5275,78.3075
17.5325,78.3075
17.4075,78.3125
17.4125,78.3125
17.4425,78.3125
17.4475,78.3125
17.4725,78.3125
17.4775,78.3125
17.4825,78.3125
17.4875,78.3125
17.4925,78.3125
17.4975,78.3125
17.5025,78.3125
17.5075,78.3125
17.5125,78.3125
17.5175,78.3125
17.4025,78.3175
17.4075,78.3175
17.4425,78.3175
17.4475,78.3175
17.4775,78.3175
17.4825,78.3175
17.4875,78.3175
17.4925,78.3175
17.4975,78.3175
17.5025,78.3175
17.5075,78.3175
17.5125,78.3175
17.4775,78.3225
17.4825,78.3225
17.4875,78.3225
17.4925,78.3225
17.4975,78.3225
17.5025,78.3225
17.5075,78.3225
17.5675,78.3225
17.5725,78.3225
17.4275,78.3275
17.4325,78.3275
17.4425,78.3275
17.4775,78.3275
17.4825,78.3275
17.4875,78.3275
17.4925,78.3275
17.4975,78.3275
17.5025,78.3275
17.5075,78.3275
17.5725,78.3275
17.5775,78.3275
17.5825,78.3275
17.3925,78.3325
17.4225,78.3325
17.4275,78.3325
17.4325,78.3325
17.4475,78.3325
17.4525,78.3325
17.4725,78.3325
17.4825,78.3325
17.4875,78.3325
17.4925,78.3325
17.4975,78.3325
17.5025,78.3325
17.5075,78.3325
17.5125,78.3325
17.5525,78.3325
17.5575,78.3325
17.5675,78.3325
17.5725,78.3325
17.3925,78.3375
17.4175,78.3375
17.4225,78.3375
17.4275,78.3375
17.4325,78.3375
17.4475,78.3375
17.4525,78.3375
17.4575,78.3375
17.4675,78.3375
17.4925,78.3375
17.4975,78.3375
17.5025,78.3375
17.5075,78.3375
17.5375,78.3375
17.5425,78.3375
17.5475,78.3375
17.5525,78.3375
17.5575,78.3375
17.3925,78.3425
17.3975,78.3425
17.4175,78.3425
17.4225,78.3425
17.4275,78.3425
17.4325,78.3425
17.4375,78.3425
17.4425,78.3425
17.4475,78.3425
17.4675,78.3425
17.4875,78.3425
17.4925,78.3425
17.4975,78.3425
17.5025,78.3425
17.5175,78.3425
17.5425,78.3425
17.5475,78.3425
17.5525,78.3425
17.5575,78.3425
17.5625,78.3425
17.3925,78.3475
17.3975,78.3475
17.4025,78.3475
17.4125,78.3475
17.4175,78.3475
17.4225,78.3475
17.4275,78.3475
17.4325,78.3475
17.4375,78.3475
17.4425,78.3475
17.4475,78.3475
17.4525,78.3475
17.4625,78.3475
17.4675,78.3475
17.4725,78.3475
17.4875,78.3475
17.4925,78.3475
17.4975,78.3475
17.5025,78.3475
17.5175,78.3475
17.5225,78.3475
17.5275,78.3475
17.5375,78.3475
17.5425,78.3475
17.5475,78.3475
17.5525,78.3475
17.5575,78.3475
17.3875,78.3525
17.4025,78.3525
17.4075,78.3525
17.4175,78.3525
17.4225,78.3525
17.4275,78.3525
17.4325,78.3525
17.4375,78.3525
17.4425,78.3525
17.4475,78.3525
17.4525,78.3525
17.4625,78.3525
17.4675,78.3525
17.4725,78.3525
